doc_id,item,category,amount,price,discount
CADDEEB5077297,Рубанок,Строительные товары,6,350,35.0
CADDEEB5077297,Шпатель,Строительные товары,7,150,15.0
CADDEEB5077297,Изолента,Бытовые товары,3,45,2.25
CADDEEB5077297,Изолента,Бытовые товары,7,45,4.5
CADDEEB5077297,Отвертка,Бытовые товары,7,150,15.0
CADDEEB5077297,Скотч,Бытовые товары,5,75,7.5
CADDEEB5077297,Рубанок,Строительные товары,1,350,0.0
CADDEEB5077297,Шпатель,Строительные товары,5,150,15.0
BAAEBDB9590440,Отвертка,Бытовые товары,6,150,15.0
DDEBBCD0298400,Шпатель,Строительные товары,8,150,15.0
DDEBBCD0298400,Шпатель,Строительные товары,5,150,15.0
DDEBBCD0298400,Рубанок,Строительные товары,9,350,35.0
DDEBBCD0298400,Отвертка,Бытовые товары,7,150,15.0
DDEBBCD0298400,Изолента,Бытовые товары,4,45,2.25
DDEBBCD0298400,Изолента,Бытовые товары,7,45,4.5
DDEBBCD0298400,Изолента,Бытовые товары,1,45,0.0
ACBCDBA2169881,Клей,Бытовая химия,3,50,2.5
ACBCDBA2169881,Рубанок,Строительные товары,3,350,17.5
ACBCDBA2169881,Пена,Бытовая химия,2,225,0.0
ACBCDBA2169881,Шпатель,Строительные товары,9,150,15.0
ACBCDBA2169881,Отвертка,Бытовые товары,4,150,7.5
ACBCDBA2169881,Пена,Бытовая химия,2,225,0.0
CAACAAD7638865,Рубанок,Строительные товары,5,350,35.0
CAACAAD7638865,Шпатель,Строительные товары,2,150,0.0
AECCDCB4637387,Молоток,Строительные товары,2,250,0.0
AECCDCB4637387,Скотч,Бытовые товары,2,75,0.0
AECCDCB4637387,Шпатель,Строительные товары,6,150,15.0
AECCDCB4637387,Молоток,Строительные товары,3,250,12.5
AECCDCB4637387,Скотч,Бытовые товары,2,75,0.0
AECCDCB4637387,Клей,Бытовая химия,7,50,5.0
AECCDCB4637387,Пена,Бытовая химия,1,225,0.0
AECCDCB4637387,Скотч,Бытовые товары,2,75,0.0
AECDDCE3504329,Изолента,Бытовые товары,4,45,2.25
AECDDCE3504329,Шпатель,Строительные товары,6,150,15.0
AECDDCE3504329,Пена,Бытовая химия,6,225,22.5
AECDDCE3504329,Шпатель,Строительные товары,7,150,15.0
AEEBEBC6294836,Отвертка,Бытовые товары,7,150,15.0
AEEBEBC6294836,Изолента,Бытовые товары,3,45,2.25
DCBBCED9647796,Рубанок,Строительные товары,1,350,0.0
DCBBCED9647796,Молоток,Строительные товары,4,250,12.5
DCBBCED9647796,Отвертка,Бытовые товары,3,150,7.5
DCBBCED9647796,Шпатель,Строительные товары,8,150,15.0
DCBBCED9647796,Отвертка,Бытовые товары,5,150,15.0
DCBBCED9647796,Пена,Бытовая химия,1,225,0.0
DCBBCED9647796,Рубанок,Строительные товары,8,350,35.0
CDBEEBB0991198,Пена,Бытовая химия,8,225,22.5
CDBEEBB0991198,Рубанок,Строительные товары,3,350,17.5
CDBEEBB0991198,Изолента,Бытовые товары,1,45,0.0
CDBEEBB0991198,Шпатель,Строительные товары,5,150,15.0
CDBEEBB0991198,Изолента,Бытовые товары,7,45,4.5
CDBEEBB0991198,Шпатель,Строительные товары,4,150,7.5
CDBEEBB0991198,Шпатель,Строительные товары,1,150,0.0
CDBEEBB0991198,Пена,Бытовая химия,6,225,22.5
BDCEBAD8525701,Шпатель,Строительные товары,6,150,15.0
BDCEBAD8525701,Рубанок,Строительные товары,2,350,0.0
BDCEBAD8525701,Рубанок,Строительные товары,5,350,35.0
BDCEBAD8525701,Клей,Бытовая химия,1,50,0.0
BDCEBAD8525701,Пена,Бытовая химия,5,225,22.5
BDCEBAD8525701,Пена,Бытовая химия,3,225,11.25
BDCEBAD8525701,Рубанок,Строительные товары,3,350,17.5
AEDCEDA9153288,Отвертка,Бытовые товары,4,150,7.5
AEDCEDA9153288,Клей,Бытовая химия,9,50,5.0
