doc_id,item,category,amount,price,discount
CBEABEC4683681,Изолента,Бытовые товары,8,45,4.5
CBEABEC4683681,Молоток,Строительные товары,3,250,12.5
BEADBBE8595297,Клей,Бытовая химия,4,50,2.5
BEADBBE8595297,Шпатель,Строительные товары,8,150,15.0
BEADBBE8595297,Рубанок,Строительные товары,4,350,17.5
EABBBDE1884002,Отвертка,Бытовые товары,2,150,0.0
EABBBDE1884002,Молоток,Строительные товары,4,250,12.5
EABBBDE1884002,Отвертка,Бытовые товары,3,150,7.5
EABBBDE1884002,Клей,Бытовая химия,9,50,5.0
EABBBDE1884002,Скотч,Бытовые товары,9,75,7.5
AEBCBED2822478,Молоток,Строительные товары,9,250,25.0
CCDBCBA4820779,Клей,Бытовая химия,7,50,5.0
CCDBCBA4820779,Пена,Бытовая химия,5,225,22.5
CCDBCBA4820779,Рубанок,Строительные товары,4,350,17.5
CCDBCBA4820779,Пена,Бытовая химия,6,225,22.5
CCDBCBA4820779,Отвертка,Бытовые товары,5,150,15.0
CCDBCBA4820779,Клей,Бытовая химия,6,50,5.0
CCDBCBA4820779,Молоток,Строительные товары,5,250,25.0
CCDBCBA4820779,Рубанок,Строительные товары,5,350,35.0
BECACCD1750046,Молоток,Строительные товары,5,250,25.0
BECACCD1750046,Отвертка,Бытовые товары,5,150,15.0
BEADADB0322470,Молоток,Строительные товары,4,250,12.5
EECEEDD6137294,Рубанок,Строительные товары,3,350,17.5
EECEEDD6137294,Скотч,Бытовые товары,1,75,0.0
EECEEDD6137294,Шпатель,Строительные товары,4,150,7.5
EECEEDD6137294,Пена,Бытовая химия,3,225,11.25
EECEEDD6137294,Клей,Бытовая химия,7,50,5.0
EECEEDD6137294,Изолента,Бытовые товары,1,45,0.0
ECADBAA6042610,Скотч,Бытовые товары,6,75,7.5
CADDEAE1146303,Рубанок,Строительные товары,4,350,17.5
CADDEAE1146303,Рубанок,Строительные товары,5,350,35.0
CADDEAE1146303,Клей,Бытовая химия,3,50,2.5
CADDEAE1146303,Шпатель,Строительные товары,4,150,7.5
CADDEAE1146303,Изолента,Бытовые товары,7,45,4.5
AABEBEE1593780,Шпатель,Строительные товары,2,150,0.0
AABEBEE1593780,Рубанок,Строительные товары,8,350,35.0
ECEEDAD7489648,Скотч,Бытовые товары,6,75,7.5
ECECBEE8251686,Рубанок,Строительные товары,6,350,35.0
CDCBCED6345148,Молоток,Строительные товары,1,250,0.0
CDCBCED6345148,Рубанок,Строительные товары,7,350,35.0
CDCBCED6345148,Изолента,Бытовые товары,2,45,0.0
CDCBCED6345148,Изолента,Бытовые товары,8,45,4.5
CDCBCED6345148,Клей,Бытовая химия,2,50,0.0
ABBCEBC9706602,Молоток,Строительные товары,9,250,25.0
ABBCEBC9706602,Шпатель,Строительные товары,6,150,15.0
ABBCEBC9706602,Изолента,Бытовые товары,4,45,2.25
CCAAEEB9144190,Изолента,Бытовые товары,6,45,4.5
CCAAEEB9144190,Шпатель,Строительные товары,4,150,7.5
CEAEDBC5753634,Клей,Бытовая химия,3,50,2.5
CEAEDBC5753634,Шпатель,Строительные товары,3,150,7.5
CEAEDBC5753634,Отвертка,Бытовые товары,7,150,15.0
CEAEDBC5753634,Изолента,Бытовые товары,5,45,4.5
CEAEDBC5753634,Шпатель,Строительные товары,3,150,7.5
CEAEDBC5753634,Рубанок,Строительные товары,6,350,35.0
CEAEDBC5753634,Пена,Бытовая химия,1,225,0.0
CBCDABC4160584,Молоток,Строительные товары,9,250,25.0
CBAEDEE4596381,Рубанок,Строительные товары,4,350,17.5
CBAEDEE4596381,Молоток,Строительные товары,2,250,0.0
DCADBDD4200080,Рубанок,Строительные товары,1,350,0.0
DCADBDD4200080,Изолента,Бытовые товары,8,45,4.5
DCADBDD4200080,Скотч,Бытовые товары,6,75,7.5
DCADBDD4200080,Клей,Бытовая химия,6,50,5.0
DCADBDD4200080,Пена,Бытовая химия,7,225,22.5
DCADBDD4200080,Молоток,Строительные товары,6,250,25.0
BDCDBDE2538761,Скотч,Бытовые товары,6,75,7.5
BDCDBDE2538761,Молоток,Строительные товары,1,250,0.0
ABDDEBC6677628,Шпатель,Строительные товары,8,150,15.0
ABDDEBC6677628,Клей,Бытовая химия,7,50,5.0
ABDDEBC6677628,Изолента,Бытовые товары,7,45,4.5
ABDDEBC6677628,Рубанок,Строительные товары,5,350,35.0
DADAABE3779968,Изолента,Бытовые товары,1,45,0.0
EBEBEBD5106832,Пена,Бытовая химия,2,225,0.0
EBEBEBD5106832,Клей,Бытовая химия,9,50,5.0
EBEBEBD5106832,Пена,Бытовая химия,1,225,0.0
CCCCDED9110011,Шпатель,Строительные товары,5,150,15.0
CCCCDED9110011,Пена,Бытовая химия,8,225,22.5
CCCCDED9110011,Рубанок,Строительные товары,4,350,17.5
EABEEAD7853495,Изолента,Бытовые товары,7,45,4.5
EABEEAD7853495,Рубанок,Строительные товары,6,350,35.0
EABEEAD7853495,Молоток,Строительные товары,9,250,25.0
EABEEAD7853495,Клей,Бытовая химия,8,50,5.0
BDEBAEA2642269,Клей,Бытовая химия,3,50,2.5
BDEBAEA2642269,Отвертка,Бытовые товары,6,150,15.0
BDEBAEA2642269,Отвертка,Бытовые товары,8,150,15.0
BDEBAEA2642269,Клей,Бытовая химия,5,50,5.0
BDEBAEA2642269,Рубанок,Строительные товары,2,350,0.0
BDAAAAB8096921,Пена,Бытовая химия,7,225,22.5
BDAAAAB8096921,Пена,Бытовая химия,6,225,22.5
BDAAAAB8096921,Пена,Бытовая химия,8,225,22.5
