doc_id,item,category,amount,price,discount
ABCCADB2732307,Отвертка,Бытовые товары,5,150,15.0
ABCCADB2732307,Клей,Бытовая химия,3,50,2.5
ABCCADB2732307,Изолента,Бытовые товары,8,45,4.5
ABCCADB2732307,Изолента,Бытовые товары,1,45,0.0
EDADCAC8232911,Отвертка,Бытовые товары,5,150,15.0
EDADCAC8232911,Рубанок,Строительные товары,9,350,35.0
EDADCAC8232911,Пена,Бытовая химия,1,225,0.0
EDADCAC8232911,Шпатель,Строительные товары,5,150,15.0
EDADCAC8232911,Пена,Бытовая химия,4,225,11.25
BCBBCAC3323232,Изолента,Бытовые товары,4,45,2.25
DBBBBAD8954810,Отвертка,Бытовые товары,7,150,15.0
DBBBBAD8954810,Изолента,Бытовые товары,8,45,4.5
DBBBBAD8954810,Рубанок,Строительные товары,3,350,17.5
DBBBBAD8954810,Пена,Бытовая химия,9,225,22.5
DBBBBAD8954810,Скотч,Бытовые товары,3,75,3.75
DBBBBAD8954810,Скотч,Бытовые товары,9,75,7.5
DBBBBAD8954810,Молоток,Строительные товары,9,250,25.0
DBBBBAD8954810,Шпатель,Строительные товары,3,150,7.5
EBBCDCC3461725,Рубанок,Строительные товары,3,350,17.5
BBBDCAA4090583,Молоток,Строительные товары,2,250,0.0
BBBDCAA4090583,Отвертка,Бытовые товары,3,150,7.5
BBBDCAA4090583,Шпатель,Строительные товары,7,150,15.0
BBBDCAA4090583,Скотч,Бытовые товары,3,75,3.75
BBBDCAA4090583,Шпатель,Строительные товары,4,150,7.5
BBBDCAA4090583,Рубанок,Строительные товары,1,350,0.0
BBBDCAA4090583,Молоток,Строительные товары,9,250,25.0
BBBDCAA4090583,Скотч,Бытовые товары,8,75,7.5
EBEEDED6613359,Скотч,Бытовые товары,3,75,3.75
EBEEDED6613359,Рубанок,Строительные товары,8,350,35.0
EBEEDED6613359,Скотч,Бытовые товары,3,75,3.75
EBEEDED6613359,Рубанок,Строительные товары,6,350,35.0
EBEEDED6613359,Молоток,Строительные товары,9,250,25.0
ABBEEBC7246288,Отвертка,Бытовые товары,8,150,15.0
ABBEEBC7246288,Изолента,Бытовые товары,1,45,0.0
ABBEEBC7246288,Скотч,Бытовые товары,4,75,3.75
ACADDDB3956945,Пена,Бытовая химия,7,225,22.5
ACADDDB3956945,Отвертка,Бытовые товары,5,150,15.0
ACADDDB3956945,Рубанок,Строительные товары,4,350,17.5
ACADDDB3956945,Клей,Бытовая химия,6,50,5.0
ACADDDB3956945,Изолента,Бытовые товары,2,45,0.0
ACADDDB3956945,Молоток,Строительные товары,5,250,25.0
ACADDDB3956945,Молоток,Строительные товары,5,250,25.0
ACADDDB3956945,Пена,Бытовая химия,9,225,22.5
CDBEDDB1611366,Шпатель,Строительные товары,5,150,15.0
CDBEDDB1611366,Скотч,Бытовые товары,9,75,7.5
CDBEDDB1611366,Молоток,Строительные товары,1,250,0.0
CDBEDDB1611366,Шпатель,Строительные товары,6,150,15.0
CDBEDDB1611366,Клей,Бытовая химия,2,50,0.0
CDBEDDB1611366,Шпатель,Строительные товары,1,150,0.0
CDBEDDB1611366,Скотч,Бытовые товары,2,75,0.0
CDBEDDB1611366,Скотч,Бытовые товары,9,75,7.5
ABABEAE7987946,Молоток,Строительные товары,7,250,25.0
ABABEAE7987946,Рубанок,Строительные товары,2,350,0.0
